reservoir,storage,capacity,pct_capacity,date,state
Abilene,1079,7900,13.7,01/2000
Abilene,994,7900,12.6,02/2000
Abilene,904,7900,11.4,03/2000
Abilene,816,7900,10.3,04/2000
Abilene,714,7900,9,05/2000
Abilene,680,7900,8.6,06/2000
Abilene,604,7900,7.6,07/2000
Abilene,236,7900,3,08/2000
Abilene,383,7900,4.8,09/2000
Abilene,360,7900,4.6,10/2000
Abilene,388,7900,4.9,11/2000
Abilene,372,7900,4.7,12/2000
Abilene,362,7900,4.6,01/2001
Abilene,362,7900,4.6,02/2001
Abilene,363,7900,4.6,03/2001
Abilene,339,7900,4.3,04/2001
Abilene,743,7900,9.4,05/2001
Abilene,636,7900,8.1,06/2001
Abilene,486,7900,6.2,07/2001
Abilene,395,7900,5,08/2001
Abilene,501,7900,6.3,09/2001
Abilene,655,7900,8.3,10/2001
Abilene,571,7900,7.2,11/2001
Abilene,538,7900,6.8,12/2001
Abilene,464,7900,5.9,01/2002
Abilene,464,7900,5.9,02/2002
Abilene,436,7900,5.5,03/2002
Abilene,403,7900,5.1,04/2002
Abilene,880,7900,11.1,05/2002
Abilene,1420,7900,18,06/2002
Abilene,3774,7900,47.8,07/2002
Abilene,4154,7900,52.6,08/2002
Abilene,3831,7900,48.5,09/2002
Abilene,3764,7900,47.6,10/2002
Abilene,3707,7900,46.9,11/2002
Abilene,3557,7900,45,12/2002
Abilene,3435,7900,43.5,01/2003
Abilene,3330,7900,42.2,02/2003
Abilene,3273,7900,41.4,03/2003
Abilene,3096,7900,39.2,04/2003
Abilene,2879,7900,36.4,05/2003
Abilene,3243,7900,41.1,06/2003
Abilene,3332,7900,42.2,07/2003
Abilene,2968,7900,37.6,08/2003
Abilene,2729,7900,34.5,09/2003
Abilene,2597,7900,32.9,10/2003
Abilene,2470,7900,31.3,11/2003
Abilene,2307,7900,29.2,12/2003
Abilene,2181,7900,27.6,01/2004
Abilene,2089,7900,26.4,02/2004
Abilene,2080,7900,26.3,03/2004
Abilene,2017,7900,25.5,04/2004
Abilene,1936,7900,24.5,05/2004
