reservoir,storage,capacity,pct_capacity,date,state
"Banks Lake",680763,1237000,55,01/2000,wa
"Banks Lake",675680,1237000,54.6,02/2000,wa
"Banks Lake",674903,1237000,54.6,03/2000,wa
"Banks Lake",661777,1237000,53.5,04/2000,wa
"Banks Lake",663958,1237000,53.7,05/2000,wa
"Banks Lake",665724,1237000,53.8,06/2000,wa
"Banks Lake",668627,1237000,54.1,07/2000,wa
"Banks Lake",597087,1237000,48.3,08/2000,wa
"Banks Lake",542736,1237000,43.9,09/2000,wa
"Banks Lake",0,1237000,0,10/2000,wa
"Banks Lake",0,1237000,0,11/2000,wa
"Banks Lake",0,1237000,0,12/2000,wa
"Banks Lake",0,1237000,0,01/2001,wa
"Banks Lake",0,1237000,0,02/2001,wa
"Banks Lake",0,1237000,0,03/2001,wa
"Banks Lake",0,1237000,0,04/2001,wa
"Banks Lake",0,1237000,0,05/2001,wa
"Banks Lake",0,1237000,0,06/2001,wa
"Banks Lake",0,1237000,0,07/2001,wa
"Banks Lake",267526,1237000,21.6,08/2001,wa
"Banks Lake",596444,1237000,48.2,09/2001,wa
"Banks Lake",627722,1237000,50.7,10/2001,wa
"Banks Lake",665824,1237000,53.8,11/2001,wa
"Banks Lake",670206,1237000,54.2,12/2001,wa
"Banks Lake",684802,1237000,55.4,01/2002,wa
"Banks Lake",673962,1237000,54.5,02/2002,wa
"Banks Lake",661984,1237000,53.5,03/2002,wa
"Banks Lake",654996,1237000,53,04/2002,wa
"Banks Lake",323724,1237000,26.2,05/2002,wa
"Banks Lake",0,1237000,0,06/2002,wa
"Banks Lake",0,1237000,0,07/2002,wa
"Banks Lake",595477,1237000,48.1,08/2002,wa
"Banks Lake",605213,1237000,48.9,09/2002,wa
"Banks Lake",627019,1237000,50.7,10/2002,wa
"Banks Lake",634102,1237000,51.3,11/2002,wa
"Banks Lake",671359,1237000,54.3,12/2002,wa
"Banks Lake",691224,1237000,55.9,01/2003,wa
"Banks Lake",689591,1237000,55.7,02/2003,wa
"Banks Lake",671994,1237000,54.3,03/2003,wa
"Banks Lake",666514,1237000,53.9,04/2003,wa
"Banks Lake",661994,1237000,53.5,05/2003,wa
"Banks Lake",662889,1237000,53.6,06/2003,wa
"Banks Lake",667645,1237000,54,07/2003,wa
"Banks Lake",624196,1237000,50.5,08/2003,wa
"Banks Lake",619494,1237000,50.1,09/2003,wa
"Banks Lake",662871,1237000,53.6,10/2003,wa
"Banks Lake",677484,1237000,54.8,11/2003,wa
"Banks Lake",662597,1237000,53.6,12/2003,wa
"Banks Lake",673370,1237000,54.4,01/2004,wa
"Banks Lake",665070,1237000,53.8,02/2004,wa
"Banks Lake",672458,1237000,54.4,03/2004,wa
"Banks Lake",668695,1237000,54.1,04/2004,wa
"Banks Lake",677958,1237000,54.8,05/2004,wa
"Banks Lake",675352,1237000,54.6,06/2004,wa
"Banks Lake",676884,1237000,54.7,07/2004,wa
"Banks Lake",619235,1237000,50.1,08/2004,wa
"Banks Lake",648203,1237000,52.4,09/2004,wa
"Banks Lake",625151,1237000,50.5,10/2004,wa
"Banks Lake",560928,1237000,45.3,11/2004,wa
"Banks Lake",633380,1237000,51.2,12/2004,wa
"Banks Lake",675588,1237000,54.6,01/2005,wa
"Banks Lake",670747,1237000,54.2,02/2005,wa
"Banks Lake",668709,1237000,54.1,03/2005,wa
"Banks Lake",661773,1237000,53.5,04/2005,wa
"Banks Lake",672994,1237000,54.4,05/2005,wa
"Banks Lake",667110,1237000,53.9,06/2005,wa
"Banks Lake",680770,1237000,55,07/2005,wa
"Banks Lake",624126,1237000,50.5,08/2005,wa
"Banks Lake",606821,1237000,49.1,09/2005,wa
"Banks Lake",645738,1237000,52.2,10/2005,wa
"Banks Lake",647344,1237000,52.3,11/2005,wa
"Banks Lake",673450,1237000,54.4,12/2005,wa
"Banks Lake",690231,1237000,55.8,01/2006,wa
"Banks Lake",672410,1237000,54.4,02/2006,wa
"Banks Lake",671617,1237000,54.3,03/2006,wa
"Banks Lake",682529,1237000,55.2,04/2006,wa
"Banks Lake",644993,1237000,52.1,05/2006,wa
"Banks Lake",663618,1237000,53.6,06/2006,wa
"Banks Lake",675493,1237000,54.6,07/2006,wa
"Banks Lake",634336,1237000,51.3,08/2006,wa
"Banks Lake",645430,1237000,52.2,09/2006,wa
"Banks Lake",683807,1237000,55.3,10/2006,wa
"Banks Lake",658488,1237000,53.2,11/2006,wa
"Banks Lake",675382,1237000,54.6,12/2006,wa
"Banks Lake",681117,1237000,55.1,01/2007,wa
"Banks Lake",670770,1237000,54.2,02/2007,wa
"Banks Lake",684695,1237000,55.4,03/2007,wa
"Banks Lake",660124,1237000,53.4,04/2007,wa
"Banks Lake",672557,1237000,54.4,05/2007,wa
"Banks Lake",665645,1237000,53.8,06/2007,wa
"Banks Lake",685679,1237000,55.4,07/2007,wa
"Banks Lake",630572,1237000,51,08/2007,wa
"Banks Lake",627422,1237000,50.7,09/2007,wa
"Banks Lake",645575,1237000,52.2,10/2007,wa
"Banks Lake",666088,1237000,53.8,11/2007,wa
"Banks Lake",681570,1237000,55.1,12/2007,wa
"Banks Lake",680203,1237000,55,01/2008,wa
"Banks Lake",666788,1237000,53.9,02/2008,wa
"Banks Lake",671140,1237000,54.3,03/2008,wa
"Banks Lake",676884,1237000,54.7,04/2008,wa
"Banks Lake",668217,1237000,54,05/2008,wa
"Banks Lake",685407,1237000,55.4,06/2008,wa
"Banks Lake",673692,1237000,54.5,07/2008,wa
"Banks Lake",636829,1237000,51.5,08/2008,wa
"Banks Lake",650449,1237000,52.6,09/2008,wa
"Banks Lake",663682,1237000,53.7,10/2008,wa
"Banks Lake",677355,1237000,54.8,11/2008,wa
"Banks Lake",678854,1237000,54.9,12/2008,wa
"Banks Lake",682870,1237000,55.2,01/2009,wa
"Banks Lake",683716,1237000,55.3,02/2009,wa
"Banks Lake",675458,1237000,54.6,03/2009,wa
"Banks Lake",681352,1237000,55.1,04/2009,wa
"Banks Lake",665604,1237000,53.8,05/2009,wa
"Banks Lake",670302,1237000,54.2,06/2009,wa
"Banks Lake",667075,1237000,53.9,07/2009,wa
"Banks Lake",643831,1237000,52,08/2009,wa
"Banks Lake",598278,1237000,48.4,09/2009,wa
"Banks Lake",634498,1237000,51.3,10/2009,wa
"Banks Lake",635897,1237000,51.4,11/2009,wa
"Banks Lake",658536,1237000,53.2,12/2009,wa
"Banks Lake",665462,1237000,53.8,01/2010,wa
"Banks Lake",663198,1237000,53.6,02/2010,wa
"Banks Lake",675317,1237000,54.6,03/2010,wa
"Banks Lake",662283,1237000,53.5,04/2010,wa
"Banks Lake",657914,1237000,53.2,05/2010,wa
"Banks Lake",663010,1237000,53.6,06/2010,wa
"Banks Lake",662188,1237000,53.5,07/2010,wa
"Banks Lake",615392,1237000,49.7,08/2010,wa
"Banks Lake",620142,1237000,50.1,09/2010,wa
"Banks Lake",614357,1237000,49.7,10/2010,wa
"Banks Lake",622134,1237000,50.3,11/2010,wa
"Banks Lake",631887,1237000,51.1,12/2010,wa
"Banks Lake",649445,1237000,52.5,01/2011,wa
"Banks Lake",650963,1237000,52.6,02/2011,wa
"Banks Lake",631387,1237000,51,03/2011,wa
"Banks Lake",654380,1237000,52.9,04/2011,wa
"Banks Lake",653847,1237000,52.9,05/2011,wa
"Banks Lake",666538,1237000,53.9,06/2011,wa
"Banks Lake",680646,1237000,55,07/2011,wa
"Banks Lake",488120,1237000,39.5,08/2011,wa
"Banks Lake",106120,1237000,8.6,09/2011,wa
"Banks Lake",7026,1237000,0.6,10/2011,wa
"Banks Lake",10118,1237000,0.8,11/2011,wa
"Banks Lake",87104,1237000,7,12/2011,wa
"Banks Lake",309081,1237000,25,01/2012,wa
"Banks Lake",496222,1237000,40.1,02/2012,wa
"Banks Lake",635439,1237000,51.4,03/2012,wa
"Banks Lake",658611,1237000,53.2,04/2012,wa
"Banks Lake",682221,1237000,55.2,05/2012,wa
