reservoir,storage,capacity,pct_capacity,date,state
"Big Sand Wash",14500,25700,56.4,11/2011,UT
"Big Sand Wash",18000,25700,70,12/2011,UT
"Big Sand Wash",23800,25700,92.6,01/2012,UT
"Big Sand Wash",24300,25700,94.6,02/2012,UT
"Big Sand Wash",24300,25700,94.6,03/2012,UT
"Big Sand Wash",25900,25700,100.8,04/2012,UT
"Big Sand Wash",25200,25700,98.1,05/2012,UT
"Big Sand Wash",19300,25700,75.1,06/2012,UT
"Big Sand Wash",16000,25700,62.3,07/2012,UT
"Big Sand Wash",7000,25700,27.2,08/2012,UT
"Big Sand Wash",3000,25700,11.7,09/2012,UT
"Big Sand Wash",2500,25700,9.7,10/2012,UT
"Big Sand Wash",6200,25700,24.1,11/2012,UT
"Big Sand Wash",7000,25700,27.2,12/2012,UT
"Big Sand Wash",10641,25700,41.4,01/2013,UT
"Big Sand Wash",14428,25700,56.1,02/2013,UT
"Big Sand Wash",17800,25700,69.3,03/2013,UT
"Big Sand Wash",21627,25700,84.2,04/2013,UT
"Big Sand Wash",22680,25700,88.2,05/2013,UT
"Big Sand Wash",19775,25700,76.9,06/2013,UT
"Big Sand Wash",13398,25700,52.1,07/2013,UT
"Big Sand Wash",5874,25700,22.9,08/2013,UT
"Big Sand Wash",2383,25700,9.3,09/2013,UT
"Big Sand Wash",6599,25700,25.7,10/2013,UT
"Big Sand Wash",7943,25700,30.9,11/2013,UT
"Big Sand Wash",13725,25700,53.4,12/2013,UT
"Big Sand Wash",18270,25700,71.1,01/2014,UT
"Big Sand Wash",22258,25700,86.6,02/2014,UT
"Big Sand Wash",25635,25700,99.7,03/2014,UT
"Big Sand Wash",25934,25700,100.9,04/2014,UT
"Big Sand Wash",24643,25700,95.9,05/2014,UT
"Big Sand Wash",20783,25700,80.9,06/2014,UT
"Big Sand Wash",15000,25700,58.4,07/2014,UT
"Big Sand Wash",7603,25700,29.6,08/2014,UT
"Big Sand Wash",5866,25700,22.8,09/2014,UT
"Big Sand Wash",5653,25700,22,10/2014,UT
"Big Sand Wash",11751,25700,45.7,11/2014,UT
"Big Sand Wash",17034,25700,66.3,12/2014,UT
"Big Sand Wash",22139,25700,86.1,01/2015,UT
"Big Sand Wash",25211,25700,98.1,02/2015,UT
"Big Sand Wash",25671,25700,99.9,03/2015,UT
"Big Sand Wash",25885,25700,100.7,04/2015,UT
"Big Sand Wash",24311,25700,94.6,05/2015,UT
"Big Sand Wash",24569,25700,95.6,06/2015,UT
"Big Sand Wash",23786,25700,92.6,07/2015,UT
"Big Sand Wash",16739,25700,65.1,08/2015,UT
"Big Sand Wash",10978,25700,42.7,09/2015,UT
"Big Sand Wash",7343,25700,28.6,10/2015,UT
"Big Sand Wash",9780,25700,38.1,11/2015,UT
"Big Sand Wash",14823,25700,57.7,12/2015,UT
"Big Sand Wash",20298,25700,79,01/2016,UT
"Big Sand Wash",24551,25700,95.5,02/2016,UT
"Big Sand Wash",25957,25700,101,03/2016,UT
"Big Sand Wash",26036,25700,101.3,04/2016,UT
"Big Sand Wash",25813,25700,100.4,05/2016,UT
"Big Sand Wash",23824,25700,92.7,06/2016,UT
"Big Sand Wash",24986,25700,97.2,07/2016,UT
"Big Sand Wash",17214,25700,67,08/2016,UT
"Big Sand Wash",8175,25700,31.8,09/2016,UT
"Big Sand Wash",5870,25700,22.8,10/2016,UT
"Big Sand Wash",11088,25700,43.1,11/2016,UT
"Big Sand Wash",17160,25700,66.8,12/2016,UT
"Big Sand Wash",22974,25700,89.4,01/2017,UT
"Big Sand Wash",25199,25700,98.1,02/2017,UT
"Big Sand Wash",25573,25700,99.5,03/2017,UT
"Big Sand Wash",25987,25700,101.1,04/2017,UT
"Big Sand Wash",25829,25700,100.5,05/2017,UT
"Big Sand Wash",25920,25700,100.9,06/2017,UT
"Big Sand Wash",25406,25700,98.9,07/2017,UT
"Big Sand Wash",19132,25700,74.4,08/2017,UT
"Big Sand Wash",13157,25700,51.2,09/2017,UT
"Big Sand Wash",8650,25700,33.7,10/2017,UT
"Big Sand Wash",11554,25700,45,11/2017,UT
"Big Sand Wash",17271,25700,67.2,12/2017,UT
"Big Sand Wash",22670,25700,88.2,01/2018,UT
"Big Sand Wash",25481,25700,99.1,02/2018,UT
"Big Sand Wash",25854,25700,100.6,03/2018,UT
"Big Sand Wash",25700,25700,100,04/2018,UT
"Big Sand Wash",23806,25700,92.6,05/2018,UT
"Big Sand Wash",18962,25700,73.8,06/2018,UT
"Big Sand Wash",11109,25700,43.2,07/2018,UT
"Big Sand Wash",2837,25700,11,08/2018,UT
"Big Sand Wash",1714,25700,6.7,09/2018,UT
"Big Sand Wash",1636,25700,6.4,10/2018,UT
"Big Sand Wash",2761,25700,10.7,11/2018,UT
"Big Sand Wash",5930,25700,23.1,12/2018,UT
"Big Sand Wash",9646,25700,37.5,01/2019,UT
"Big Sand Wash",13376,25700,52,02/2019,UT
"Big Sand Wash",16859,25700,65.6,03/2019,UT
