reservoir,storage,capacity,pct_capacity,date
"American Falls",1167974,1671300,69.9,01/2000,id
"American Falls",1278774,1671300,76.5,02/2000,id
"American Falls",1554595,1671300,93,03/2000,id
"American Falls",1663297,1671300,99.5,04/2000,id
"American Falls",1636315,1671300,97.9,05/2000,id
"American Falls",1450708,1671300,86.8,06/2000,id
"American Falls",991571,1671300,59.3,07/2000,id
"American Falls",517727,1671300,31,08/2000,id
"American Falls",195848,1671300,11.7,09/2000,id
"American Falls",148351,1671300,8.9,10/2000,id
"American Falls",444522,1671300,26.6,11/2000,id
"American Falls",730409,1671300,43.7,12/2000,id
"American Falls",992089,1671300,59.4,01/2001,id
"American Falls",1256162,1671300,75.2,02/2001,id
"American Falls",1531807,1671300,91.7,03/2001,id
"American Falls",1669083,1671300,99.9,04/2001,id
"American Falls",1427683,1671300,85.4,05/2001,id
"American Falls",1004706,1671300,60.1,06/2001,id
"American Falls",594455,1671300,35.6,07/2001,id
"American Falls",231968,1671300,13.9,08/2001,id
"American Falls",56207,1671300,3.4,09/2001,id
"American Falls",105939,1671300,6.3,10/2001,id
"American Falls",341792,1671300,20.5,11/2001,id
"American Falls",589634,1671300,35.3,12/2001,id
"American Falls",819703,1671300,49,01/2002,id
"American Falls",1030093,1671300,61.6,02/2002,id
"American Falls",1252013,1671300,74.9,03/2002,id
"American Falls",1418751,1671300,84.9,04/2002,id
"American Falls",1305728,1671300,78.1,05/2002,id
"American Falls",986519,1671300,59,06/2002,id
"American Falls",548246,1671300,32.8,07/2002,id
"American Falls",229584,1671300,13.7,08/2002,id
"American Falls",76925,1671300,4.6,09/2002,id
"American Falls",107356,1671300,6.4,10/2002,id
"American Falls",334138,1671300,20,11/2002,id
"American Falls",576017,1671300,34.5,12/2002,id
"American Falls",809263,1671300,48.4,01/2003,id
"American Falls",1030281,1671300,61.6,02/2003,id
"American Falls",1240731,1671300,74.2,03/2003,id
"American Falls",1347160,1671300,80.6,04/2003,id
"American Falls",1217450,1671300,72.8,05/2003,id
"American Falls",834181,1671300,49.9,06/2003,id
"American Falls",427306,1671300,25.6,07/2003,id
"American Falls",163414,1671300,9.8,08/2003,id
"American Falls",51624,1671300,3.1,09/2003,id
"American Falls",85706,1671300,5.1,10/2003,id
"American Falls",282660,1671300,16.9,11/2003,id
"American Falls",502914,1671300,30.1,12/2003,id
"American Falls",710946,1671300,42.5,01/2004,id
"American Falls",914993,1671300,54.7,02/2004,id
"American Falls",1142420,1671300,68.4,03/2004,id
"American Falls",1246783,1671300,74.6,04/2004,id
"American Falls",1040893,1671300,62.3,05/2004,id
"American Falls",904174,1671300,54.1,06/2004,id
"American Falls",518663,1671300,31,07/2004,id
"American Falls",188576,1671300,11.3,08/2004,id
"American Falls",68480,1671300,4.1,09/2004,id
"American Falls",145284,1671300,8.7,10/2004,id
"American Falls",394899,1671300,23.6,11/2004,id
"American Falls",634244,1671300,37.9,12/2004,id
"American Falls",867307,1671300,51.9,01/2005,id
"American Falls",1077521,1671300,64.5,02/2005,id
"American Falls",1287943,1671300,77.1,03/2005,id
"American Falls",1443156,1671300,86.3,04/2005,id
"American Falls",1516727,1671300,90.8,05/2005,id
"American Falls",1480168,1671300,88.6,06/2005,id
"American Falls",1014880,1671300,60.7,07/2005,id
"American Falls",533249,1671300,31.9,08/2005,id
"American Falls",215180,1671300,12.9,09/2005,id
"American Falls",230498,1671300,13.8,10/2005,id
"American Falls",476390,1671300,28.5,11/2005,id
"American Falls",720532,1671300,43.1,12/2005,id
"American Falls",1005987,1671300,60.2,01/2006,id
"American Falls",1240937,1671300,74.2,02/2006,id
"American Falls",1408299,1671300,84.3,03/2006,id
"American Falls",1585900,1671300,94.9,04/2006,id
"American Falls",1611334,1671300,96.4,05/2006,id
"American Falls",1561894,1671300,93.5,06/2006,id
"American Falls",1118146,1671300,66.9,07/2006,id
"American Falls",588571,1671300,35.2,08/2006,id
"American Falls",301370,1671300,18,09/2006,id
"American Falls",357765,1671300,21.4,10/2006,id
"American Falls",669232,1671300,40,11/2006,id
"American Falls",962930,1671300,57.6,12/2006,id
"American Falls",1141843,1671300,68.3,01/2007,id
"American Falls",1310459,1671300,78.4,02/2007,id
"American Falls",1536414,1671300,91.9,03/2007,id
"American Falls",1658145,1671300,99.2,04/2007,id
"American Falls",1445575,1671300,86.5,05/2007,id
"American Falls",1097238,1671300,65.7,06/2007,id
"American Falls",583933,1671300,34.9,07/2007,id
"American Falls",198046,1671300,11.8,08/2007,id
"American Falls",27669,1671300,1.7,09/2007,id
"American Falls",127651,1671300,7.6,10/2007,id
"American Falls",369952,1671300,22.1,11/2007,id
"American Falls",603050,1671300,36.1,12/2007,id
"American Falls",810497,1671300,48.5,01/2008,id
"American Falls",1005060,1671300,60.1,02/2008,id
"American Falls",1215852,1671300,72.7,03/2008,id
"American Falls",1334066,1671300,79.8,04/2008,id
"American Falls",1245852,1671300,74.5,05/2008,id
"American Falls",1328359,1671300,79.5,06/2008,id
"American Falls",952806,1671300,57,07/2008,id
"American Falls",501886,1671300,30,08/2008,id
"American Falls",262938,1671300,15.7,09/2008,id
"American Falls",335395,1671300,20.1,10/2008,id
"American Falls",618986,1671300,37,11/2008,id
"American Falls",853036,1671300,51,12/2008,id
"American Falls",1081301,1671300,64.7,01/2009,id
"American Falls",1302846,1671300,78,02/2009,id
"American Falls",1529082,1671300,91.5,03/2009,id
"American Falls",1640146,1671300,98.1,04/2009,id
"American Falls",1644618,1671300,98.4,05/2009,id
"American Falls",1638522,1671300,98,06/2009,id
"American Falls",1475583,1671300,88.3,07/2009,id
"American Falls",1009534,1671300,60.4,08/2009,id
"American Falls",664587,1671300,39.8,09/2009,id
"American Falls",670259,1671300,40.1,10/2009,id
"American Falls",911347,1671300,54.5,11/2009,id
"American Falls",1118077,1671300,66.9,12/2009,id
"American Falls",1286654,1671300,77,01/2010,id
"American Falls",1442141,1671300,86.3,02/2010,id
"American Falls",1602978,1671300,95.9,03/2010,id
"American Falls",1670404,1671300,99.9,04/2010,id
"American Falls",1540168,1671300,92.2,05/2010,id
"American Falls",1556080,1671300,93.1,06/2010,id
"American Falls",1337087,1671300,80,07/2010,id
"American Falls",879153,1671300,52.6,08/2010,id
"American Falls",508929,1671300,30.5,09/2010,id
"American Falls",435505,1671300,26.1,10/2010,id
"American Falls",679888,1671300,40.7,11/2010,id
"American Falls",938136,1671300,56.1,12/2010,id
"American Falls",1111594,1671300,66.5,01/2011,id
"American Falls",1174070,1671300,70.2,02/2011,id
"American Falls",1260203,1671300,75.4,03/2011,id
"American Falls",1463627,1671300,87.6,04/2011,id
"American Falls",1575585,1671300,94.3,05/2011,id
"American Falls",1609872,1671300,96.3,06/2011,id
"American Falls",1668365,1671300,99.8,07/2011,id
"American Falls",1479975,1671300,88.6,08/2011,id
"American Falls",964987,1671300,57.7,09/2011,id
"American Falls",690291,1671300,41.3,10/2011,id
"American Falls",781877,1671300,46.8,11/2011,id
"American Falls",896390,1671300,53.6,12/2011,id
"American Falls",1039182,1671300,62.2,01/2012,id
"American Falls",1249170,1671300,74.7,02/2012,id
"American Falls",1462835,1671300,87.5,03/2012,id
"American Falls",1594176,1671300,95.4,04/2012,id
"American Falls",1523528,1671300,91.2,05/2012,id
"American Falls",1166666,1671300,69.8,06/2012,id
"American Falls",615240,1671300,36.8,07/2012,id
"American Falls",348443,1671300,20.8,08/2012,id
"American Falls",180129,1671300,10.8,09/2012,id
"American Falls",195284,1671300,11.7,10/2012,id
"American Falls",474417,1671300,28.4,11/2012,id
"American Falls",749948,1671300,44.9,12/2012,id
"American Falls",992229,1671300,59.4,01/2013,id
"American Falls",1229762,1671300,73.6,02/2013,id
"American Falls",1467829,1671300,87.8,03/2013,id
"American Falls",1595707,1671300,95.5,04/2013,id
"American Falls",1360160,1671300,81.4,05/2013,id
"American Falls",990388,1671300,59.3,06/2013,id
"American Falls",566863,1671300,33.9,07/2013,id
"American Falls",236799,1671300,14.2,08/2013,id
"American Falls",60488,1671300,3.6,09/2013,id
"American Falls",137488,1671300,8.2,10/2013,id
"American Falls",359822,1671300,21.5,11/2013,id
"American Falls",594936,1671300,35.6,12/2013,id
"American Falls",830721,1671300,49.7,01/2014,id
"American Falls",1054976,1671300,63.1,02/2014,id
"American Falls",1283956,1671300,76.8,03/2014,id
"American Falls",1462059,1671300,87.5,04/2014,id
"American Falls",1541219,1671300,92.2,05/2014,id
"American Falls",1220062,1671300,73,06/2014,id
"American Falls",680128,1671300,40.7,07/2014,id
"American Falls",432698,1671300,25.9,08/2014,id
"American Falls",332312,1671300,19.9,09/2014,id
"American Falls",355040,1671300,21.2,10/2014,id
"American Falls",604270,1671300,36.2,11/2014,id
"American Falls",871486,1671300,52.1,12/2014,id
"American Falls",1091565,1671300,65.3,01/2015,id
"American Falls",1270204,1671300,76,02/2015,id
"American Falls",1433174,1671300,85.8,03/2015,id
"American Falls",1462740,1671300,87.5,04/2015,id
"American Falls",1331590,1671300,79.7,05/2015,id
"American Falls",1257677,1671300,75.3,06/2015,id
"American Falls",799398,1671300,47.8,07/2015,id
"American Falls",449948,1671300,26.9,08/2015,id
"American Falls",160425,1671300,9.6,09/2015,id
"American Falls",157946,1671300,9.5,10/2015,id
"American Falls",366412,1671300,21.9,11/2015,id
"American Falls",593607,1671300,35.5,12/2015,id
"American Falls",808843,1671300,48.4,01/2016,id
"American Falls",1024006,1671300,61.3,02/2016,id
"American Falls",1252122,1671300,74.9,03/2016,id
"American Falls",1416905,1671300,84.8,04/2016,id
"American Falls",1407219,1671300,84.2,05/2016,id
"American Falls",1135356,1671300,67.9,06/2016,id
"American Falls",676209,1671300,40.5,07/2016,id
"American Falls",357032,1671300,21.4,08/2016,id
"American Falls",175420,1671300,10.5,09/2016,id
