Colorado, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.96,0.90
189601,1.13,0.07
189701,1.27,0.21
189801,0.92,-0.14
189901,1.07,0.01
190001,0.32,-0.74
190101,0.81,-0.25
190201,0.63,-0.43
190301,0.60,-0.46
190401,0.39,-0.67
190501,1.35,0.29
190601,1.15,0.09
190701,1.00,-0.06
190801,0.73,-0.33
190901,1.82,0.76
191001,0.84,-0.22
191101,1.38,0.32
191201,0.64,-0.42
191301,0.88,-0.18
191401,1.87,0.81
191501,0.96,-0.10
191601,2.51,1.45
191701,1.07,0.01
191801,2.03,0.97
191901,0.17,-0.89
192001,0.69,-0.37
192101,1.28,0.22
192201,1.02,-0.04
192301,0.65,-0.41
192401,0.67,-0.39
192501,0.55,-0.51
192601,0.89,-0.17
192701,0.81,-0.25
192801,0.33,-0.73
192901,0.90,-0.16
193001,1.60,0.54
193101,0.17,-0.89
193201,0.88,-0.18
193301,0.68,-0.38
193401,0.36,-0.70
193501,0.99,-0.07
193601,0.88,-0.18
193701,0.79,-0.27
193801,1.05,-0.01
193901,1.66,0.60
194001,1.80,0.74
194101,1.37,0.31
194201,0.93,-0.13
194301,1.28,0.22
194401,1.43,0.37
194501,1.11,0.05
194601,0.69,-0.37
194701,0.82,-0.24
194801,1.47,0.41
194901,1.91,0.85
195001,1.46,0.40
195101,1.45,0.39
195201,1.53,0.47
195301,0.89,-0.17
195401,0.69,-0.37
195501,0.77,-0.29
195601,1.87,0.81
195701,2.44,1.38
195801,0.79,-0.27
195901,0.96,-0.10
196001,1.23,0.17
196101,0.25,-0.81
196201,1.31,0.25
196301,1.20,0.14
196401,0.58,-0.48
196501,1.25,0.19
196601,0.58,-0.48
196701,0.91,-0.15
196801,0.51,-0.55
196901,1.75,0.69
197001,0.63,-0.43
197101,0.87,-0.19
197201,0.69,-0.37
197301,0.84,-0.22
197401,1.82,0.76
197501,1.24,0.18
197601,0.61,-0.45
197701,0.59,-0.47
197801,1.48,0.42
197901,1.92,0.86
198001,2.32,1.26
198101,0.36,-0.70
198201,1.32,0.26
198301,0.57,-0.49
198401,0.62,-0.44
198501,1.00,-0.06
198601,0.34,-0.72
198701,1.11,0.05
198801,1.46,0.40
198901,1.02,-0.04
199001,0.96,-0.10
199101,0.80,-0.26
199201,0.70,-0.36
199301,1.59,0.53
199401,0.72,-0.34
199501,1.08,0.02
199601,1.68,0.62
199701,1.74,0.68
199801,0.80,-0.26
199901,1.07,0.01
200001,1.25,0.19
200101,1.02,-0.04
200201,0.64,-0.42
200301,0.44,-0.62
200401,0.90,-0.16
200501,1.97,0.91
200601,0.97,-0.09
200701,1.00,-0.06
200801,1.60,0.54
200901,0.98,-0.08
201001,0.88,-0.18
201101,0.71,-0.35
201201,0.69,-0.37
201301,0.91,-0.15
201401,1.18,0.12
201501,0.65,-0.41
201601,1.02,-0.04
201701,2.29,1.23
201801,0.81,-0.25
201901,1.32,0.26
