New Mexico, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189511,1.24,0.58
189611,0.19,-0.47
189711,0.18,-0.48
189811,0.63,-0.03
189911,1.06,0.40
190011,0.47,-0.19
190111,1.43,0.77
190211,0.86,0.20
190311,0.01,-0.65
190411,0.18,-0.48
190511,2.87,2.21
190611,1.43,0.77
190711,0.92,0.26
190811,0.88,0.22
190911,0.55,-0.11
191011,0.65,-0.01
191111,0.38,-0.28
191211,0.16,-0.50
191311,1.49,0.83
191411,0.35,-0.31
191511,0.22,-0.44
191611,0.19,-0.47
191711,0.16,-0.50
191811,1.23,0.57
191911,1.00,0.34
192011,0.21,-0.45
192111,0.14,-0.52
192211,1.01,0.35
192311,1.42,0.76
192411,0.22,-0.44
192511,0.25,-0.41
192611,0.16,-0.50
192711,0.13,-0.53
192811,0.96,0.30
192911,0.67,0.01
193011,0.96,0.30
193111,1.29,0.63
193211,0.01,-0.65
193311,0.69,0.03
193411,0.76,0.10
193511,1.09,0.43
193611,0.45,-0.21
193711,0.09,-0.57
193811,0.25,-0.41
193911,0.61,-0.05
194011,1.47,0.81
194111,0.41,-0.25
194211,0.02,-0.64
194311,0.47,-0.19
194411,0.95,0.29
194511,0.01,-0.65
194611,0.84,0.18
194711,0.68,0.02
194811,0.17,-0.49
194911,0.09,-0.57
195011,0.06,-0.60
195111,0.40,-0.26
195211,0.99,0.33
195311,0.60,-0.06
195411,0.07,-0.59
195511,0.15,-0.51
195611,0.07,-0.59
195711,1.07,0.41
195811,0.48,-0.18
195911,0.21,-0.45
196011,0.12,-0.54
196111,1.25,0.59
196211,0.80,0.14
196311,0.43,-0.23
196411,0.58,-0.08
196511,0.42,-0.24
196611,0.23,-0.43
196711,0.37,-0.29
196811,0.93,0.27
196911,0.30,-0.36
197011,0.18,-0.48
197111,0.90,0.24
197211,0.88,0.22
197311,0.19,-0.47
197411,0.35,-0.31
197511,0.66,0.00
197611,0.55,-0.11
197711,0.63,-0.03
197811,2.44,1.78
197911,0.59,-0.07
198011,0.47,-0.19
198111,0.52,-0.14
198211,1.09,0.43
198311,1.17,0.51
198411,0.90,0.24
198511,0.63,-0.03
198611,2.43,1.77
198711,0.82,0.16
198811,0.41,-0.25
198911,0.04,-0.62
199011,1.25,0.59
199111,1.49,0.83
199211,0.56,-0.10
199311,0.76,0.10
199411,1.58,0.92
199511,0.26,-0.40
199611,0.62,-0.04
199711,0.82,0.16
199811,0.73,0.07
199911,0.02,-0.64
200011,1.29,0.63
200111,0.94,0.28
200211,0.56,-0.10
200311,0.86,0.20
200411,1.71,1.05
200511,0.06,-0.60
200611,0.17,-0.49
200711,0.42,-0.24
200811,0.38,-0.28
200911,0.40,-0.26
201011,0.10,-0.56
201111,0.47,-0.19
201211,0.18,-0.48
201311,0.86,0.20
201411,0.63,-0.03
201511,0.85,0.19
201611,1.34,0.68
201711,0.11,-0.55
201811,0.25,-0.41
