New Mexico, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,1.21,0.04
189606,1.10,-0.07
189706,1.31,0.14
189806,2.55,1.38
189906,1.21,0.04
190006,1.15,-0.02
190106,0.35,-0.82
190206,0.71,-0.46
190306,3.39,2.22
190406,1.75,0.58
190506,1.51,0.34
190606,0.39,-0.78
190706,1.29,0.12
190806,0.40,-0.77
190906,0.80,-0.37
191006,0.84,-0.33
191106,1.23,0.06
191206,1.92,0.75
191306,2.47,1.30
191406,1.73,0.56
191506,0.53,-0.64
191606,0.24,-0.93
191706,0.23,-0.94
191806,1.17,0.00
191906,1.62,0.45
192006,1.89,0.72
192106,3.02,1.85
192206,1.11,-0.06
192306,1.04,-0.13
192406,0.35,-0.82
192506,0.83,-0.34
192606,0.91,-0.26
192706,1.91,0.74
192806,0.36,-0.81
192906,0.44,-0.73
193006,0.96,-0.21
193106,0.80,-0.37
193206,1.31,0.14
193306,2.10,0.93
193406,0.46,-0.71
193506,0.82,-0.35
193606,0.83,-0.34
193706,1.72,0.55
193806,2.14,0.97
193906,0.58,-0.59
194006,1.25,0.08
194106,1.89,0.72
194206,0.74,-0.43
194306,1.85,0.68
194406,0.83,-0.34
194506,0.26,-0.91
194606,0.53,-0.64
194706,0.53,-0.64
194806,1.94,0.77
194906,2.07,0.90
195006,1.26,0.09
195106,0.33,-0.84
195206,1.17,0.00
195306,0.63,-0.54
195406,0.48,-0.69
195506,0.39,-0.78
195606,0.70,-0.47
195706,0.46,-0.71
195806,0.96,-0.21
195906,1.25,0.08
196006,1.68,0.51
196106,1.04,-0.13
196206,1.05,-0.12
196306,0.87,-0.30
196406,0.40,-0.77
196506,1.98,0.81
196606,2.14,0.97
196706,2.14,0.97
196806,0.29,-0.88
196906,1.23,0.06
197006,0.96,-0.21
197106,0.38,-0.79
197206,1.71,0.54
197306,0.81,-0.36
197406,0.47,-0.70
197506,0.54,-0.63
197606,0.69,-0.48
197706,0.87,-0.30
197806,1.87,0.70
197906,1.96,0.79
198006,0.26,-0.91
198106,1.29,0.12
198206,0.73,-0.44
198306,0.85,-0.32
198406,2.08,0.91
198506,1.27,0.10
198606,3.17,2.00
198706,1.63,0.46
198806,1.85,0.68
198906,0.93,-0.24
199006,0.28,-0.89
199106,1.22,0.05
199206,1.28,0.11
199306,0.96,-0.21
199406,0.59,-0.58
199506,1.16,-0.01
199606,2.44,1.27
199706,1.81,0.64
199806,0.19,-0.98
199906,1.56,0.39
200006,2.27,1.10
200106,0.80,-0.37
200206,0.73,-0.44
200306,1.26,0.09
200406,1.20,0.03
200506,0.47,-0.70
200606,1.05,-0.12
200706,1.14,-0.03
200806,0.56,-0.61
200906,1.48,0.31
201006,0.89,-0.28
201106,0.17,-1.00
201206,0.33,-0.84
201306,0.64,-0.53
201406,0.55,-0.62
201506,1.57,0.40
201606,1.05,-0.12
201706,0.93,-0.24
201806,0.98,-0.19
