New Mexico, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,2.68,1.63
189605,0.11,-0.94
189705,2.98,1.93
189805,0.86,-0.19
189905,0.21,-0.84
190005,1.68,0.63
190105,1.69,0.64
190205,1.37,0.32
190305,0.59,-0.46
190405,0.82,-0.23
190505,0.60,-0.45
190605,0.49,-0.56
190705,1.36,0.31
190805,0.69,-0.36
190905,0.48,-0.57
191005,0.29,-0.76
191105,1.10,0.05
191205,0.65,-0.40
191305,0.24,-0.81
191405,2.46,1.41
191505,0.83,-0.22
191605,0.36,-0.69
191705,1.15,0.10
191805,0.44,-0.61
191905,1.60,0.55
192005,1.50,0.45
192105,1.65,0.60
192205,0.84,-0.21
192305,0.38,-0.67
192405,0.50,-0.55
192505,0.97,-0.08
192605,2.32,1.27
192705,0.08,-0.97
192805,2.50,1.45
192905,2.36,1.31
193005,1.01,-0.04
193105,0.90,-0.15
193205,1.49,0.44
193305,0.64,-0.41
193405,1.08,0.03
193505,2.14,1.09
193605,1.73,0.68
193705,2.62,1.57
193805,0.44,-0.61
193905,0.69,-0.36
194005,1.86,0.81
194105,3.71,2.66
194205,0.23,-0.82
194305,0.96,-0.09
194405,0.80,-0.25
194505,0.19,-0.86
194605,0.54,-0.51
194705,1.59,0.54
194805,1.23,0.18
194905,1.27,0.22
195005,0.25,-0.80
195105,0.98,-0.07
195205,0.68,-0.37
195305,0.70,-0.35
195405,1.34,0.29
195505,1.34,0.29
195605,0.57,-0.48
195705,1.44,0.39
195805,0.93,-0.12
195905,1.36,0.31
196005,0.53,-0.52
196105,0.34,-0.71
196205,0.23,-0.82
196305,0.70,-0.35
196405,0.70,-0.35
196505,1.20,0.15
196605,0.39,-0.66
196705,0.45,-0.60
196805,0.69,-0.36
196905,1.65,0.60
197005,0.39,-0.66
197105,0.46,-0.59
197205,0.76,-0.29
197305,1.10,0.05
197405,0.20,-0.85
197505,0.54,-0.51
197605,1.15,0.10
197705,0.89,-0.16
197805,1.67,0.62
197905,2.03,0.98
198005,1.24,0.19
198105,1.19,0.14
198205,1.14,0.09
198305,0.71,-0.34
198405,1.06,0.01
198505,1.04,-0.01
198605,1.54,0.49
198705,1.76,0.71
198805,1.13,0.08
198905,0.58,-0.47
199005,0.71,-0.34
199105,0.96,-0.09
199205,3.01,1.96
199305,0.83,-0.22
199405,2.27,1.22
199505,1.21,0.16
199605,0.19,-0.86
199705,1.33,0.28
199805,0.06,-0.99
199905,1.56,0.51
200005,0.12,-0.93
200105,1.02,-0.03
200205,0.14,-0.91
200305,0.38,-0.67
200405,0.17,-0.88
200505,1.21,0.16
200605,0.39,-0.66
200705,1.98,0.93
200805,0.98,-0.07
200905,0.91,-0.14
201005,0.47,-0.58
201105,0.23,-0.82
201205,0.81,-0.24
201305,0.22,-0.83
201405,1.06,0.01
201505,2.54,1.49
201605,0.98,-0.07
201705,0.73,-0.32
201805,0.47,-0.58
201905,1.00,-0.05
202005,0.20,-0.85
202105,1.04,-0.01
