Arizona, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,0.29,-0.89
189612,0.56,-0.62
189712,0.59,-0.59
189812,1.63,0.45
189912,0.15,-1.03
190012,0.02,-1.16
190112,0.09,-1.09
190212,1.37,0.19
190312,0.09,-1.09
190412,0.82,-0.36
190512,1.13,-0.05
190612,3.52,2.34
190712,0.12,-1.06
190812,3.11,1.93
190912,1.66,0.48
191012,0.49,-0.69
191112,0.53,-0.65
191212,0.59,-0.59
191312,0.95,-0.23
191412,3.10,1.92
191512,2.41,1.23
191612,0.78,-0.40
191712,0.00,-1.18
191812,1.80,0.62
191912,0.57,-0.61
192012,0.21,-0.97
192112,1.85,0.67
192212,0.53,-0.65
192312,2.60,1.42
192412,1.80,0.62
192512,0.57,-0.61
192612,2.73,1.55
192712,1.55,0.37
192812,0.76,-0.42
192912,0.08,-1.10
193012,0.15,-1.03
193112,1.52,0.34
193212,1.84,0.66
193312,0.30,-0.88
193412,1.52,0.34
193512,0.84,-0.34
193612,2.01,0.83
193712,1.06,-0.12
193812,1.89,0.71
193912,0.33,-0.85
194012,3.35,2.17
194112,1.88,0.70
194212,1.04,-0.14
194312,1.36,0.18
194412,1.01,-0.17
194512,1.11,-0.07
194612,0.90,-0.28
194712,1.13,-0.05
194812,1.66,0.48
194912,1.14,-0.04
195012,0.02,-1.16
195112,1.81,0.63
195212,0.99,-0.19
195312,0.24,-0.94
195412,0.31,-0.87
195512,0.51,-0.67
195612,0.18,-1.00
195712,0.46,-0.72
195812,0.03,-1.15
195912,2.71,1.53
196012,0.66,-0.52
196112,1.71,0.53
196212,0.96,-0.22
196312,0.16,-1.02
196412,0.93,-0.25
196512,4.50,3.32
196612,1.45,0.27
196712,3.69,2.51
196812,1.05,-0.13
196912,0.56,-0.62
197012,0.69,-0.49
197112,1.44,0.26
197212,1.32,0.14
197312,0.05,-1.13
197412,0.57,-0.61
197512,0.83,-0.35
197612,0.36,-0.82
197712,0.88,-0.30
197812,3.05,1.87
197912,0.68,-0.50
198012,0.37,-0.81
198112,0.05,-1.13
198212,2.44,1.26
198312,1.47,0.29
198412,3.44,2.26
198512,0.39,-0.79
198612,1.45,0.27
198712,1.44,0.26
198812,0.39,-0.79
198912,0.38,-0.80
199012,1.36,0.18
199112,1.98,0.80
199212,3.23,2.05
199312,0.29,-0.89
199412,2.10,0.92
199512,0.29,-0.89
199612,0.19,-0.99
199712,1.87,0.69
199812,0.39,-0.79
199912,0.04,-1.14
200012,0.12,-1.06
200112,0.82,-0.36
200212,0.86,-0.32
200312,0.54,-0.64
200412,1.66,0.48
200512,0.04,-1.14
200612,0.37,-0.81
200712,2.28,1.10
200812,1.89,0.71
200912,1.21,0.03
201012,1.67,0.49
201112,1.55,0.37
201212,1.46,0.28
201312,0.44,-0.74
201412,1.47,0.29
201512,0.60,-0.58
201612,2.13,0.95
201712,0.13,-1.05
201812,0.71,-0.47
201912,1.63,0.45
202012,0.35,-0.83
