Nevada, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.11,0.95
189601,1.66,0.50
189701,1.23,0.07
189801,0.94,-0.22
189901,1.57,0.41
190001,0.46,-0.70
190101,1.38,0.22
190201,0.49,-0.67
190301,1.59,0.43
190401,0.89,-0.27
190501,0.87,-0.29
190601,1.80,0.64
190701,2.52,1.36
190801,1.10,-0.06
190901,2.70,1.54
191001,1.39,0.23
191101,2.45,1.29
191201,0.55,-0.61
191301,0.79,-0.37
191401,3.18,2.02
191501,0.81,-0.35
191601,3.65,2.49
191701,0.84,-0.32
191801,0.98,-0.18
191901,0.14,-1.02
192001,0.46,-0.70
192101,1.31,0.15
192201,1.48,0.32
192301,1.21,0.05
192401,0.37,-0.79
192501,0.45,-0.71
192601,0.62,-0.54
192701,0.67,-0.49
192801,0.55,-0.61
192901,0.88,-0.28
193001,1.61,0.45
193101,0.43,-0.73
193201,1.39,0.23
193301,1.96,0.80
193401,0.61,-0.55
193501,1.22,0.06
193601,1.29,0.13
193701,1.39,0.23
193801,0.86,-0.30
193901,1.01,-0.15
194001,2.19,1.03
194101,1.25,0.09
194201,1.05,-0.11
194301,2.42,1.26
194401,1.05,-0.11
194501,0.56,-0.60
194601,0.56,-0.60
194701,0.34,-0.82
194801,0.27,-0.89
194901,1.74,0.58
195001,1.18,0.02
195101,1.06,-0.10
195201,1.91,0.75
195301,0.72,-0.44
195401,1.16,0.00
195501,1.20,0.04
195601,1.90,0.74
195701,1.19,0.03
195801,0.77,-0.39
195901,0.64,-0.52
196001,0.95,-0.21
196101,0.37,-0.79
196201,0.71,-0.45
196301,0.88,-0.28
196401,0.81,-0.35
196501,0.82,-0.34
196601,0.26,-0.90
196701,1.39,0.23
196801,0.50,-0.66
196901,2.72,1.56
197001,1.27,0.11
197101,0.66,-0.50
197201,0.40,-0.76
197301,1.35,0.19
197401,1.23,0.07
197501,0.78,-0.38
197601,0.31,-0.85
197701,0.64,-0.52
197801,1.68,0.52
197901,1.57,0.41
198001,2.70,1.54
198101,0.80,-0.36
198201,1.11,-0.05
198301,1.61,0.45
198401,0.34,-0.82
198501,0.62,-0.54
198601,0.62,-0.54
198701,0.90,-0.26
198801,1.41,0.25
198901,0.56,-0.60
199001,1.03,-0.13
199101,0.45,-0.71
199201,0.64,-0.52
199301,2.44,1.28
199401,0.40,-0.76
199501,2.54,1.38
199601,1.75,0.59
199701,2.15,0.99
199801,1.30,0.14
199901,1.30,0.14
200001,1.43,0.27
200101,1.14,-0.02
200201,0.67,-0.49
200301,0.52,-0.64
200401,0.53,-0.63
200501,2.25,1.09
200601,1.47,0.31
200701,0.33,-0.83
200801,1.48,0.32
200901,0.87,-0.29
201001,1.45,0.29
201101,0.29,-0.87
201201,0.95,-0.21
201301,0.68,-0.48
201401,0.51,-0.65
201501,0.50,-0.66
201601,1.72,0.56
201701,2.88,1.72
201801,0.96,-0.20
201901,1.32,0.16
