Oregon, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,0.24,-1.30
189606,0.78,-0.76
189706,2.55,1.01
189806,1.34,-0.20
189906,0.59,-0.95
190006,1.73,0.19
190106,0.68,-0.86
190206,0.48,-1.06
190306,1.80,0.26
190406,0.66,-0.88
190506,1.73,0.19
190606,2.64,1.10
190706,2.19,0.65
190806,1.50,-0.04
190906,0.74,-0.80
191006,0.89,-0.65
191106,1.62,0.08
191206,2.48,0.94
191306,3.81,2.27
191406,2.11,0.57
191506,0.68,-0.86
191606,2.00,0.46
191706,0.69,-0.85
191806,0.36,-1.18
191906,0.48,-1.06
192006,1.79,0.25
192106,1.23,-0.31
192206,0.99,-0.55
192306,2.35,0.81
192406,0.74,-0.80
192506,1.29,-0.25
192606,0.37,-1.17
192706,1.68,0.14
192806,1.05,-0.49
192906,2.27,0.73
193006,0.73,-0.81
193106,2.53,0.99
193206,0.62,-0.92
193306,1.45,-0.09
193406,1.71,0.17
193506,0.74,-0.80
193606,1.98,0.44
193706,3.60,2.06
193806,1.05,-0.49
193906,1.16,-0.38
194006,0.43,-1.11
194106,2.67,1.13
194206,1.78,0.24
194306,2.25,0.71
194406,2.71,1.17
194506,0.74,-0.80
194606,1.53,-0.01
194706,3.76,2.22
194806,2.53,0.99
194906,0.53,-1.01
195006,2.61,1.07
195106,0.41,-1.13
195206,3.13,1.59
195306,2.11,0.57
195406,2.47,0.93
195506,0.88,-0.66
195606,1.63,0.09
195706,0.91,-0.63
195806,3.09,1.55
195906,1.04,-0.50
196006,0.27,-1.27
196106,0.92,-0.62
196206,0.43,-1.11
196306,1.79,0.25
196406,2.64,1.10
196506,1.75,0.21
196606,1.16,-0.38
196706,1.25,-0.29
196806,1.17,-0.37
196906,3.13,1.59
197006,1.48,-0.06
197106,1.99,0.45
197206,1.19,-0.35
197306,0.78,-0.76
197406,0.62,-0.92
197506,1.41,-0.13
197606,0.85,-0.69
197706,0.92,-0.62
197806,1.30,-0.24
197906,0.77,-0.77
198006,2.09,0.55
198106,2.34,0.80
198206,2.09,0.55
198306,1.76,0.22
198406,2.69,1.15
198506,1.36,-0.18
198606,0.59,-0.95
198706,1.00,-0.54
198806,1.83,0.29
198906,0.78,-0.76
199006,1.27,-0.27
199106,1.68,0.14
199206,1.79,0.25
199306,2.50,0.96
199406,1.29,-0.25
199506,2.57,1.03
199606,1.04,-0.50
199706,1.88,0.34
199806,1.50,-0.04
199906,0.88,-0.66
200006,1.01,-0.53
200106,1.41,-0.13
200206,1.07,-0.47
200306,0.21,-1.33
200406,1.23,-0.31
200506,1.62,0.08
200606,1.57,0.03
200706,1.18,-0.36
200806,1.01,-0.53
200906,2.19,0.65
201006,2.85,1.31
201106,1.45,-0.09
201206,2.45,0.91
201306,1.49,-0.05
201406,1.14,-0.40
201506,0.42,-1.12
201606,1.03,-0.51
201706,1.37,-0.17
201806,1.25,-0.29
