Arizona, Precipitation, April
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189504,0.08,-0.49
189604,0.26,-0.31
189704,0.13,-0.44
189804,0.58,0.01
189904,0.22,-0.35
190004,1.74,1.17
190104,0.14,-0.43
190204,0.07,-0.50
190304,0.40,-0.17
190404,0.03,-0.54
190504,2.07,1.50
190604,0.80,0.23
190704,0.59,0.02
190804,0.69,0.12
190904,0.19,-0.38
191004,0.40,-0.17
191104,0.27,-0.30
191204,1.07,0.50
191304,0.34,-0.23
191404,0.34,-0.23
191504,1.58,1.01
191604,0.44,-0.13
191704,1.44,0.87
191804,0.15,-0.42
191904,0.61,0.04
192004,0.29,-0.28
192104,0.33,-0.24
192204,0.61,0.04
192304,0.56,-0.01
192404,0.67,0.10
192504,0.85,0.28
192604,2.35,1.78
192704,0.54,-0.03
192804,0.29,-0.28
192904,0.64,0.07
193004,0.49,-0.08
193104,1.21,0.64
193204,0.45,-0.12
193304,0.75,0.18
193404,0.67,0.10
193504,0.47,-0.10
193604,0.15,-0.42
193704,0.14,-0.43
193804,0.20,-0.37
193904,0.60,0.03
194004,0.78,0.21
194104,2.09,1.52
194204,1.12,0.55
194304,0.42,-0.15
194404,0.78,0.21
194504,0.18,-0.39
194604,0.71,0.14
194704,0.05,-0.52
194804,0.11,-0.46
194904,0.40,-0.17
195004,0.03,-0.54
195104,1.42,0.85
195204,1.69,1.12
195304,0.54,-0.03
195404,0.05,-0.52
195504,0.15,-0.42
195604,0.36,-0.21
195704,0.50,-0.07
195804,1.00,0.43
195904,0.39,-0.18
196004,0.24,-0.33
196104,0.19,-0.38
196204,0.04,-0.53
196304,0.44,-0.13
196404,0.72,0.15
196504,1.58,1.01
196604,0.15,-0.42
196704,0.41,-0.16
196804,0.51,-0.06
196904,0.11,-0.46
197004,0.41,-0.16
197104,0.32,-0.25
197204,0.11,-0.46
197304,0.34,-0.23
197404,0.16,-0.41
197504,0.82,0.25
197604,1.04,0.47
197704,0.39,-0.18
197804,0.56,-0.01
197904,0.18,-0.39
198004,0.61,0.04
198104,0.48,-0.09
198204,0.25,-0.32
198304,0.60,0.03
198404,0.60,0.03
198504,1.03,0.46
198604,0.36,-0.21
198704,0.37,-0.20
198804,2.04,1.47
198904,0.01,-0.56
199004,0.69,0.12
199104,0.01,-0.56
199204,0.36,-0.21
199304,0.05,-0.52
199404,0.61,0.04
199504,0.63,0.06
199604,0.06,-0.51
199704,0.76,0.19
199804,0.63,0.06
199904,1.37,0.80
200004,0.11,-0.46
200104,0.97,0.40
200204,0.18,-0.39
200304,0.29,-0.28
200404,1.32,0.75
200504,0.70,0.13
200604,0.24,-0.33
200704,0.24,-0.33
200804,0.02,-0.55
200904,0.29,-0.28
201004,0.27,-0.30
201104,0.41,-0.16
201204,0.32,-0.25
201304,0.20,-0.37
201404,0.24,-0.33
201504,0.42,-0.15
201604,0.80,0.23
201704,0.19,-0.38
201804,0.04,-0.53
201904,0.33,-0.24
