Montana, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.43,1.08
189601,2.05,0.70
189701,1.32,-0.03
189801,0.93,-0.42
189901,2.11,0.76
190001,0.60,-0.75
190101,1.33,-0.02
190201,0.71,-0.64
190301,0.97,-0.38
190401,1.27,-0.08
190501,1.15,-0.20
190601,1.10,-0.25
190701,2.58,1.23
190801,0.90,-0.45
190901,2.78,1.43
191001,1.19,-0.16
191101,1.89,0.54
191201,1.40,0.05
191301,2.06,0.71
191401,1.23,-0.12
191501,0.99,-0.36
191601,2.26,0.91
191701,1.31,-0.04
191801,2.43,1.08
191901,0.71,-0.64
192001,1.55,0.20
192101,1.01,-0.34
192201,1.08,-0.27
192301,1.30,-0.05
192401,1.03,-0.32
192501,1.23,-0.12
192601,0.87,-0.48
192701,1.44,0.09
192801,1.74,0.39
192901,1.58,0.23
193001,0.96,-0.39
193101,0.55,-0.80
193201,1.12,-0.23
193301,1.32,-0.03
193401,0.99,-0.36
193501,1.33,-0.02
193601,1.54,0.19
193701,1.24,-0.11
193801,0.88,-0.47
193901,0.90,-0.45
194001,1.06,-0.29
194101,0.57,-0.78
194201,0.86,-0.49
194301,2.41,1.06
194401,0.43,-0.92
194501,0.95,-0.40
194601,0.94,-0.41
194701,0.95,-0.40
194801,1.53,0.18
194901,1.38,0.03
195001,2.20,0.85
195101,1.33,-0.02
195201,1.08,-0.27
195301,2.36,1.01
195401,2.47,1.12
195501,0.73,-0.62
195601,1.25,-0.10
195701,1.39,0.04
195801,0.80,-0.55
195901,1.75,0.40
196001,0.96,-0.39
196101,0.55,-0.80
196201,1.34,-0.01
196301,1.52,0.17
196401,1.32,-0.03
196501,1.90,0.55
196601,1.53,0.18
196701,1.86,0.51
196801,1.36,0.01
196901,2.97,1.62
197001,2.03,0.68
197101,2.74,1.39
197201,2.42,1.07
197301,0.73,-0.62
197401,1.98,0.63
197501,2.00,0.65
197601,1.07,-0.28
197701,1.15,-0.20
197801,1.61,0.26
197901,1.02,-0.33
198001,1.57,0.22
198101,0.52,-0.83
198201,2.09,0.74
198301,0.94,-0.41
198401,0.98,-0.37
198501,0.42,-0.93
198601,1.11,-0.24
198701,0.56,-0.79
198801,1.00,-0.35
198901,1.72,0.37
199001,1.55,0.20
199101,1.06,-0.29
199201,0.74,-0.61
199301,1.07,-0.28
199401,1.10,-0.25
199501,0.96,-0.39
199601,1.86,0.51
199701,1.60,0.25
199801,1.40,0.05
199901,1.45,0.10
200001,1.19,-0.16
200101,0.51,-0.84
200201,1.26,-0.09
200301,1.37,0.02
200401,1.30,-0.05
200501,0.79,-0.56
200601,1.40,0.05
200701,0.72,-0.63
200801,1.26,-0.09
200901,1.34,-0.01
201001,1.08,-0.27
201101,1.77,0.42
201201,1.23,-0.12
201301,1.05,-0.30
201401,1.21,-0.14
201501,1.18,-0.17
201601,0.91,-0.44
201701,0.91,-0.44
201801,1.16,-0.19
201901,1.04,-0.31
202001,1.20,-0.15
202101,0.74,-0.61
