reservoir,storage,capacity,pct_capacity,date,state
Lahontan,171200,295100,58,01/2000,NV
Lahontan,187800,295100,63.6,02/2000,NV
Lahontan,207700,295100,70.4,03/2000,NV
Lahontan,228900,295100,77.6,04/2000,NV
Lahontan,223900,295100,75.9,05/2000,NV
Lahontan,242300,295100,82.1,06/2000,NV
Lahontan,217300,295100,73.6,07/2000,NV
Lahontan,167500,295100,56.8,08/2000,NV
Lahontan,124200,295100,42.1,09/2000,NV
Lahontan,96120,295100,32.6,10/2000,NV
Lahontan,79130,295100,26.8,11/2000,NV
Lahontan,76500,295100,25.9,12/2000,NV
Lahontan,101800,295100,34.5,01/2001,NV
Lahontan,133400,295100,45.2,02/2001,NV
Lahontan,163200,295100,55.3,03/2001,NV
Lahontan,200300,295100,67.9,04/2001,NV
Lahontan,207300,295100,70.2,05/2001,NV
Lahontan,212700,295100,72.1,06/2001,NV
Lahontan,175000,295100,59.3,07/2001,NV
Lahontan,140000,295100,47.4,08/2001,NV
Lahontan,103900,295100,35.2,09/2001,NV
Lahontan,77670,295100,26.3,10/2001,NV
Lahontan,61840,295100,21,11/2001,NV
Lahontan,73480,295100,24.9,12/2001,NV
Lahontan,100900,295100,34.2,01/2002,NV
Lahontan,112600,295100,38.2,02/2002,NV
Lahontan,132600,295100,44.9,03/2002,NV
Lahontan,164500,295100,55.7,04/2002,NV
Lahontan,196700,295100,66.7,05/2002,NV
Lahontan,213000,295100,72.2,06/2002,NV
Lahontan,206300,295100,69.9,07/2002,NV
Lahontan,164800,295100,55.8,08/2002,NV
Lahontan,119300,295100,40.4,09/2002,NV
Lahontan,80670,295100,27.3,10/2002,NV
Lahontan,72250,295100,24.5,11/2002,NV
Lahontan,89740,295100,30.4,12/2002,NV
Lahontan,114800,295100,38.9,01/2003,NV
Lahontan,137500,295100,46.6,02/2003,NV
Lahontan,168200,295100,57,03/2003,NV
Lahontan,199000,295100,67.4,04/2003,NV
Lahontan,219900,295100,74.5,05/2003,NV
Lahontan,222800,295100,75.5,06/2003,NV
Lahontan,231800,295100,78.5,07/2003,NV
Lahontan,188300,295100,63.8,08/2003,NV
Lahontan,143300,295100,48.6,09/2003,NV
Lahontan,106800,295100,36.2,10/2003,NV
Lahontan,80550,295100,27.3,11/2003,NV
Lahontan,90720,295100,30.7,12/2003,NV
Lahontan,112100,295100,38,01/2004,NV
Lahontan,135800,295100,46,02/2004,NV
Lahontan,161700,295100,54.8,03/2004,NV
Lahontan,215500,295100,73,04/2004,NV
Lahontan,221800,295100,75.2,05/2004,NV
Lahontan,232700,295100,78.9,06/2004,NV
Lahontan,206300,295100,69.9,07/2004,NV
Lahontan,160500,295100,54.4,08/2004,NV
Lahontan,120300,295100,40.8,09/2004,NV
Lahontan,93790,295100,31.8,10/2004,NV
Lahontan,78890,295100,26.7,11/2004,NV
Lahontan,85690,295100,29,12/2004,NV
Lahontan,103800,295100,35.2,01/2005,NV
Lahontan,122100,295100,41.4,02/2005,NV
Lahontan,136900,295100,46.4,03/2005,NV
Lahontan,157700,295100,53.4,04/2005,NV
Lahontan,147400,295100,49.9,05/2005,NV
Lahontan,236100,295100,80,06/2005,NV
Lahontan,272300,295100,92.3,07/2005,NV
Lahontan,233400,295100,79.1,08/2005,NV
