reservoir,storage,capacity,pct_capacity,date,state
Bartlett,62872,178186,35.3,01/2000,AZ
Bartlett,59859,178186,33.6,02/2000,AZ
Bartlett,65936,178186,37,03/2000,AZ
Bartlett,74961,178186,42.1,04/2000,AZ
Bartlett,77039,178186,43.2,05/2000,AZ
Bartlett,72565,178186,40.7,06/2000,AZ
Bartlett,65057,178186,36.5,07/2000,AZ
Bartlett,60656,178186,34,08/2000,AZ
Bartlett,74675,178186,41.9,09/2000,AZ
Bartlett,77644,178186,43.6,10/2000,AZ
Bartlett,71795,178186,40.3,11/2000,AZ
Bartlett,70580,178186,39.6,12/2000,AZ
Bartlett,94326,178186,52.9,01/2001,AZ
Bartlett,107268,178186,60.2,02/2001,AZ
Bartlett,133358,178186,74.8,03/2001,AZ
Bartlett,149000,178186,83.6,04/2001,AZ
Bartlett,159300,178186,89.4,05/2001,AZ
Bartlett,157703,178186,88.5,06/2001,AZ
Bartlett,154458,178186,86.7,07/2001,AZ
Bartlett,157887,178186,88.6,08/2001,AZ
Bartlett,159893,178186,89.7,09/2001,AZ
Bartlett,149987,178186,84.2,10/2001,AZ
Bartlett,102489,178186,57.5,11/2001,AZ
Bartlett,70913,178186,39.8,12/2001,AZ
Bartlett,66043,178186,37.1,01/2002,AZ
Bartlett,75190,178186,42.2,02/2002,AZ
Bartlett,81045,178186,45.5,03/2002,AZ
Bartlett,85401,178186,47.9,04/2002,AZ
Bartlett,86121,178186,48.3,05/2002,AZ
Bartlett,81213,178186,45.6,06/2002,AZ
Bartlett,73528,178186,41.3,07/2002,AZ
Bartlett,70498,178186,39.6,08/2002,AZ
Bartlett,72731,178186,40.8,09/2002,AZ
Bartlett,75102,178186,42.1,10/2002,AZ
Bartlett,65238,178186,36.6,11/2002,AZ
Bartlett,62098,178186,34.9,12/2002,AZ
Bartlett,62598,178186,35.1,01/2003,AZ
Bartlett,65886,178186,37,02/2003,AZ
Bartlett,117963,178186,66.2,03/2003,AZ
Bartlett,162770,178186,91.3,04/2003,AZ
Bartlett,153474,178186,86.1,05/2003,AZ
Bartlett,157173,178186,88.2,06/2003,AZ
Bartlett,147384,178186,82.7,07/2003,AZ
Bartlett,132677,178186,74.5,08/2003,AZ
Bartlett,135817,178186,76.2,09/2003,AZ
Bartlett,128613,178186,72.2,10/2003,AZ
Bartlett,113863,178186,63.9,11/2003,AZ
Bartlett,104768,178186,58.8,12/2003,AZ
Bartlett,100186,178186,56.2,01/2004,AZ
Bartlett,94132,178186,52.8,02/2004,AZ
Bartlett,95356,178186,53.5,03/2004,AZ
Bartlett,99579,178186,55.9,04/2004,AZ
Bartlett,98726,178186,55.4,05/2004,AZ
Bartlett,100091,178186,56.2,06/2004,AZ
Bartlett,112823,178186,63.3,07/2004,AZ
Bartlett,122890,178186,69,08/2004,AZ
Bartlett,124960,178186,70.1,09/2004,AZ
Bartlett,0,178186,0,10/2004,AZ
Bartlett,0,178186,0,11/2004,AZ
Bartlett,0,178186,0,12/2004,AZ
