state,none,D0,D1,D2,D3,D4,year,month
AZ,0,100,94.2,61.02,23.12,0,2004,12
AZ,0,100,94.2,61.02,23.12,0,2004,12
AZ,0,100,94.2,61.02,23.12,0,2004,12
AZ,0,100,94,61.06,23.12,0,2004,12
AZ,0,100,94.24,61.73,23.12,0,2004,11
AZ,0,100,94.19,64.16,23.92,0,2004,11
AZ,0,100,94.19,65.15,25.89,0,2004,11
AZ,0,100,91.11,62.57,25.88,0,2004,11
AZ,0,100,91.11,82.32,27.18,0,2004,11
AZ,0,100,91.11,82.32,27.18,0,2004,10
AZ,0,100,91.11,82.32,39.21,0,2004,10
AZ,0,100,91.11,82.32,39.21,0,2004,10
AZ,0,100,91.11,82.32,40.61,0,2004,10
AZ,0,100,91.11,82.32,40.61,0,2004,09
AZ,0,100,91.11,82.32,40.61,0,2004,09
AZ,0,100,91.11,82.32,55.24,0,2004,09
AZ,0,100,90.41,81.74,55.24,0,2004,09
AZ,0,100,90.41,81.74,56.62,0,2004,08
AZ,0,100,90.41,81.74,56.62,0,2004,08
AZ,0,100,90.41,81.74,57.92,0,2004,08
AZ,0,100,90.41,77.27,59.17,0,2004,08
AZ,0,100,90.41,76.91,55.23,0,2004,08
AZ,0,100,90.41,76.91,55.23,0,2004,07
AZ,0,100,90.71,75.62,51.93,0,2004,07
AZ,0,100,90.41,75.62,51.93,0,2004,07
AZ,0,100,90.41,75.62,51.13,0,2004,07
AZ,0,100,90.47,75.42,51.13,0,2004,06
AZ,0,100,90.41,75.42,51.13,0,2004,06
AZ,0,100,90.37,74.8,51.13,0,2004,06
AZ,0,100,90.37,74.8,51.26,0,2004,06
AZ,0,100,90.67,73.24,51.55,0,2004,06
AZ,0,100,88.77,73.71,51.55,0,2004,05
AZ,0,100,88.77,73.71,50.56,0,2004,05
AZ,0,100,88.77,73.71,50.56,0,2004,05
AZ,0,100,88.77,73.71,50.56,0,2004,05
AZ,0,100,88.77,73.71,49.54,0,2004,04
AZ,0,100,88.77,73.71,49.54,0,2004,04
AZ,0,100,88.77,73.71,49.54,0,2004,04
AZ,0,100,86.77,67.09,43.01,0,2004,04
AZ,0,100,90.04,74.17,53.81,1.29,2004,03
AZ,0,100,90.04,71.09,46.69,1.29,2004,03
AZ,0,100,90.04,71.09,43.72,1.29,2004,03
AZ,0,100,90.04,71.09,43.72,1.29,2004,03
AZ,0,100,84.66,66.17,35.66,1.38,2004,03
AZ,0,100,84.66,67.55,37.47,2.57,2004,02
