year,value,anomaly,month,type,state
2000,0.28,-0.86,01,precip,AZ
2001,1.70,0.56,01,precip,AZ
2002,0.19,-0.95,01,precip,AZ
2003,0.32,-0.82,01,precip,AZ
2004,0.71,-0.43,01,precip,AZ
2005,2.83,1.69,01,precip,AZ
2006,0.13,-1.01,01,precip,AZ
2007,0.79,-0.35,01,precip,AZ
2008,1.99,0.85,01,precip,AZ
2009,0.52,-0.62,01,precip,AZ
2010,3.41,2.27,01,precip,AZ
2011,0.05,-1.09,01,precip,AZ
2012,0.26,-0.88,01,precip,AZ
2013,1.30,0.16,01,precip,AZ
2014,0.03,-1.11,01,precip,AZ
2015,1.79,0.65,01,precip,AZ
2016,1.40,0.26,01,precip,AZ
2017,2.07,0.93,01,precip,AZ
2018,0.56,-0.58,01,precip,AZ
2019,1.40,0.26,01,precip,AZ
2000,0.59,-0.56,02,precip,AZ
2001,1.00,-0.15,02,precip,AZ
2002,0.10,-1.05,02,precip,AZ
2003,2.44,1.29,02,precip,AZ
2004,1.07,-0.08,02,precip,AZ
2005,3.35,2.20,02,precip,AZ
2006,0.04,-1.11,02,precip,AZ
2007,0.56,-0.59,02,precip,AZ
2008,1.19,0.04,02,precip,AZ
2009,1.02,-0.13,02,precip,AZ
2010,1.44,0.29,02,precip,AZ
2011,1.05,-0.10,02,precip,AZ
2012,0.43,-0.72,02,precip,AZ
2013,0.51,-0.64,02,precip,AZ
2014,0.16,-0.99,02,precip,AZ
2015,0.64,-0.51,02,precip,AZ
2016,0.29,-0.86,02,precip,AZ
2017,1.26,0.11,02,precip,AZ
2018,1.07,-0.08,02,precip,AZ
2019,2.78,1.63,02,precip,AZ
2000,1.73,0.61,03,precip,AZ
2001,1.04,-0.08,03,precip,AZ
2002,0.22,-0.90,03,precip,AZ
2003,1.07,-0.05,03,precip,AZ
2004,0.75,-0.37,03,precip,AZ
2005,0.86,-0.26,03,precip,AZ
2006,1.41,0.29,03,precip,AZ
2007,0.83,-0.29,03,precip,AZ
2008,0.07,-1.05,03,precip,AZ
2009,0.17,-0.95,03,precip,AZ
2010,1.03,-0.09,03,precip,AZ
2011,0.33,-0.79,03,precip,AZ
2012,0.69,-0.43,03,precip,AZ
2013,0.57,-0.55,03,precip,AZ
2014,0.90,-0.22,03,precip,AZ
2015,1.12,0.00,03,precip,AZ
2016,0.11,-1.01,03,precip,AZ
2017,0.41,-0.71,03,precip,AZ
2018,0.44,-0.68,03,precip,AZ
2019,1.23,0.11,03,precip,AZ
2000,0.11,-0.46,04,precip,AZ
2001,0.97,0.40,04,precip,AZ
2002,0.18,-0.39,04,precip,AZ
2003,0.29,-0.28,04,precip,AZ
2004,1.32,0.75,04,precip,AZ
2005,0.70,0.13,04,precip,AZ
2006,0.24,-0.33,04,precip,AZ
2007,0.24,-0.33,04,precip,AZ
2008,0.02,-0.55,04,precip,AZ
2009,0.29,-0.28,04,precip,AZ
2010,0.27,-0.30,04,precip,AZ
2011,0.41,-0.16,04,precip,AZ
2012,0.32,-0.25,04,precip,AZ
2013,0.20,-0.37,04,precip,AZ
2014,0.24,-0.33,04,precip,AZ
2015,0.42,-0.15,04,precip,AZ
2016,0.80,0.23,04,precip,AZ
2017,0.19,-0.38,04,precip,AZ
2018,0.06,-0.51,04,precip,AZ
2000,0.02,-0.32,05,precip,AZ
2001,0.37,0.03,05,precip,AZ
2002,0.01,-0.33,05,precip,AZ
2003,0.10,-0.24,05,precip,AZ
2004,0.01,-0.33,05,precip,AZ
2005,0.21,-0.13,05,precip,AZ
2006,0.05,-0.29,05,precip,AZ
2007,0.30,-0.04,05,precip,AZ
2008,0.65,0.31,05,precip,AZ
2009,0.74,0.40,05,precip,AZ
2010,0.06,-0.28,05,precip,AZ
2011,0.28,-0.06,05,precip,AZ
2012,0.05,-0.29,05,precip,AZ
2013,0.06,-0.28,05,precip,AZ
2014,0.07,-0.27,05,precip,AZ
2015,1.00,0.66,05,precip,AZ
2016,0.52,0.18,05,precip,AZ
2017,0.41,0.07,05,precip,AZ
2018,0.16,-0.18,05,precip,AZ
2000,0.73,0.44,06,precip,AZ
2001,0.24,-0.05,06,precip,AZ
2002,0.01,-0.28,06,precip,AZ
2003,0.05,-0.24,06,precip,AZ
2004,0.09,-0.20,06,precip,AZ
2005,0.21,-0.08,06,precip,AZ
2006,0.34,0.05,06,precip,AZ
2007,0.12,-0.17,06,precip,AZ
2008,0.15,-0.14,06,precip,AZ
2009,0.34,0.05,06,precip,AZ
2010,0.08,-0.21,06,precip,AZ
2011,0.02,-0.27,06,precip,AZ
2012,0.08,-0.21,06,precip,AZ
2013,0.03,-0.26,06,precip,AZ
2014,0.01,-0.28,06,precip,AZ
2015,0.80,0.51,06,precip,AZ
2016,0.43,0.14,06,precip,AZ
2017,0.06,-0.23,06,precip,AZ
2018,0.30,0.01,06,precip,AZ
2000,0.53,-1.27,07,precip,AZ
2001,1.50,-0.30,07,precip,AZ
2002,1.31,-0.49,07,precip,AZ
2003,1.25,-0.55,07,precip,AZ
2004,1.14,-0.66,07,precip,AZ
2005,1.05,-0.75,07,precip,AZ
2006,2.49,0.69,07,precip,AZ
2007,2.27,0.47,07,precip,AZ
2008,2.25,0.45,07,precip,AZ
2009,1.09,-0.71,07,precip,AZ
2010,1.97,0.17,07,precip,AZ
2011,1.76,-0.04,07,precip,AZ
2012,2.52,0.72,07,precip,AZ
2013,2.68,0.88,07,precip,AZ
2014,1.86,0.06,07,precip,AZ
2015,1.91,0.11,07,precip,AZ
2016,1.39,-0.41,07,precip,AZ
2017,2.94,1.14,07,precip,AZ
2018,2.33,0.53,07,precip,AZ
2000,2.45,0.35,08,precip,AZ
2001,2.04,-0.06,08,precip,AZ
2002,0.87,-1.23,08,precip,AZ
2003,1.80,-0.30,08,precip,AZ
2004,1.48,-0.62,08,precip,AZ
2005,2.43,0.33,08,precip,AZ
2006,2.02,-0.08,08,precip,AZ
2007,1.87,-0.23,08,precip,AZ
2008,2.31,0.21,08,precip,AZ
2009,0.66,-1.44,08,precip,AZ
2010,1.84,-0.26,08,precip,AZ
2011,1.28,-0.82,08,precip,AZ
2012,2.22,0.12,08,precip,AZ
2013,2.39,0.29,08,precip,AZ
2014,3.13,1.03,08,precip,AZ
2015,2.10,0.00,08,precip,AZ
2016,2.57,0.47,08,precip,AZ
2017,1.38,-0.72,08,precip,AZ
2018,2.06,-0.04,08,precip,AZ
2000,0.19,-0.99,09,precip,AZ
2001,0.39,-0.79,09,precip,AZ
2002,1.88,0.70,09,precip,AZ
2003,1.09,-0.09,09,precip,AZ
2004,1.58,0.40,09,precip,AZ
2005,0.42,-0.76,09,precip,AZ
2006,1.42,0.24,09,precip,AZ
2007,0.98,-0.20,09,precip,AZ
2008,0.62,-0.56,09,precip,AZ
2009,0.69,-0.49,09,precip,AZ
2010,0.60,-0.58,09,precip,AZ
2011,1.31,0.13,09,precip,AZ
2012,1.07,-0.11,09,precip,AZ
2013,1.88,0.70,09,precip,AZ
2014,2.49,1.31,09,precip,AZ
2015,1.37,0.19,09,precip,AZ
2016,1.35,0.17,09,precip,AZ
2017,0.61,-0.57,09,precip,AZ
2018,0.86,-0.32,09,precip,AZ
2000,3.54,2.64,10,precip,AZ
2001,0.43,-0.47,10,precip,AZ
2002,0.70,-0.20,10,precip,AZ
2003,0.41,-0.49,10,precip,AZ
2004,1.95,1.05,10,precip,AZ
2005,0.92,0.02,10,precip,AZ
2006,1.18,0.28,10,precip,AZ
2007,0.15,-0.75,10,precip,AZ
2008,0.28,-0.62,10,precip,AZ
2009,0.15,-0.75,10,precip,AZ
2010,1.35,0.45,10,precip,AZ
