Arizona, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189510,1.08,0.99
189610,2.36,2.27
189710,0.92,0.83
189810,-2.43,-2.52
189910,-2.62,-2.71
190010,-4.22,-4.31
190110,-3.02,-3.11
190210,-5.31,-5.40
190310,-2.25,-2.34
190410,-3.31,-3.40
190510,4.92,4.83
190610,4.18,4.09
190710,5.32,5.23
190810,2.08,1.99
190910,-0.73,-0.82
191010,-2.66,-2.75
191110,3.09,3.00
191210,2.26,2.17
191310,-0.94,-1.03
191410,1.04,0.95
191510,3.86,3.77
191610,5.10,5.01
191710,-1.31,-1.40
191810,-0.83,-0.92
191910,3.54,3.45
192010,0.56,0.47
192110,1.58,1.49
192210,-0.82,-0.91
192310,1.08,0.99
192410,-1.53,-1.62
192510,1.53,1.44
192610,-0.40,-0.49
192710,-0.22,-0.31
192810,-2.11,-2.20
192910,-0.48,-0.57
193010,0.24,0.15
193110,1.88,1.79
193210,-0.46,-0.55
193310,-0.22,-0.31
193410,-4.07,-4.16
193510,-0.70,-0.79
193610,0.19,0.10
193710,-0.80,-0.89
193810,-1.47,-1.56
193910,-0.34,-0.43
194010,1.59,1.50
194110,7.58,7.49
194210,-1.38,-1.47
194310,-0.15,-0.24
194410,-1.19,-1.28
194510,-0.72,-0.81
194610,1.18,1.09
194710,-2.69,-2.78
194810,-2.00,-2.09
194910,-0.10,-0.19
195010,-3.12,-3.21
195110,1.14,1.05
195210,-1.22,-1.31
195310,-1.73,-1.82
195410,-1.40,-1.49
195510,-1.54,-1.63
195610,-4.62,-4.71
195710,1.48,1.39
195810,-0.02,-0.11
195910,0.89,0.80
196010,-0.70,-0.79
196110,0.56,0.47
196210,-1.14,-1.23
196310,-1.30,-1.39
196410,0.24,0.15
196510,1.27,1.18
196610,-0.23,-0.32
196710,-0.61,-0.70
196810,-1.00,-1.09
196910,0.18,0.09
197010,-0.24,-0.33
197110,2.10,2.01
197210,2.78,2.69
197310,-2.14,-2.23
197410,-1.66,-1.75
197510,-1.75,-1.84
197610,0.02,-0.07
197710,-1.72,-1.81
197810,2.15,2.06
197910,3.63,3.54
198010,-1.07,-1.16
198110,-1.71,-1.80
198210,0.66,0.57
198310,6.87,6.78
198410,2.36,2.27
198510,3.05,2.96
198610,0.79,0.70
198710,0.35,0.26
198810,-0.66,-0.75
198910,-3.87,-3.96
199010,1.05,0.96
199110,-1.17,-1.26
199210,3.62,3.53
199310,0.27,0.18
199410,0.14,0.05
199510,-1.45,-1.54
199610,-3.75,-3.84
199710,0.48,0.39
199810,0.45,0.36
199910,-0.90,-0.99
200010,2.19,2.10
200110,-1.81,-1.90
200210,-4.68,-4.77
200310,-4.02,-4.11
200410,1.18,1.09
200510,-0.85,-0.94
200610,-2.32,-2.41
200710,-4.24,-4.33
200810,-1.59,-1.68
200910,-4.30,-4.39
201010,-0.52,-0.61
201110,-3.11,-3.20
201210,-3.57,-3.66
201310,-2.05,-2.14
201410,-2.23,-2.32
201510,0.84,0.75
201610,-2.49,-2.58
201710,-2.40,-2.49
201810,-2.60,-2.69
