Texas, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,0.32,0.47
189601,2.52,2.67
189701,-1.78,-1.63
189801,-2.41,-2.26
189901,-1.79,-1.64
190001,0.91,1.06
190101,-1.54,-1.39
190201,-4.32,-4.17
190301,1.49,1.64
190401,-2.27,-2.12
190501,-2.51,-2.36
190601,2.39,2.54
190701,-0.82,-0.67
190801,2.15,2.30
190901,-1.81,-1.66
191001,-3.58,-3.43
191101,-5.39,-5.24
191201,0.73,0.88
191301,-1.07,-0.92
191401,3.10,3.25
191501,4.73,4.88
191601,-1.23,-1.08
191701,-3.73,-3.58
191801,-6.14,-5.99
191901,2.57,2.72
192001,7.82,7.97
192101,-0.47,-0.32
192201,-2.60,-2.45
192301,-2.36,-2.21
192401,3.32,3.47
192501,-2.66,-2.51
192601,1.33,1.48
192701,-0.23,-0.08
192801,-2.50,-2.35
192901,0.42,0.57
193001,-0.13,0.02
193101,2.68,2.83
193201,1.81,1.96
193301,0.49,0.64
193401,-2.12,-1.97
193501,-3.38,-3.23
193601,-0.36,-0.21
193701,1.23,1.38
193801,1.23,1.38
193901,-1.44,-1.29
194001,-3.07,-2.92
194101,2.57,2.72
194201,5.52,5.67
194301,-0.86,-0.71
194401,1.09,1.24
194501,2.40,2.55
194601,1.37,1.52
194701,1.58,1.73
194801,-1.17,-1.02
194901,0.81,0.96
195001,1.39,1.54
195101,-2.77,-2.62
195201,-5.02,-4.87
195301,-3.78,-3.63
195401,-2.91,-2.76
195501,-5.10,-4.95
195601,-4.80,-4.65
195701,-6.58,-6.43
195801,4.20,4.35
195901,1.82,1.97
196001,2.31,2.46
196101,3.79,3.94
196201,-0.21,-0.06
196301,-2.01,-1.86
196401,-3.49,-3.34
196501,-2.75,-2.60
196601,0.12,0.27
196701,-2.36,-2.21
196801,2.00,2.15
196901,2.69,2.84
197001,2.28,2.43
197101,-2.49,-2.34
197201,-0.05,0.10
197301,1.33,1.48
197401,-0.35,-0.20
197501,4.01,4.16
197601,-1.43,-1.28
197701,2.44,2.59
197801,-2.35,-2.20
197901,0.99,1.14
198001,-0.67,-0.52
198101,-1.64,-1.49
198201,-0.88,-0.73
198301,1.10,1.25
198401,-0.41,-0.26
198501,2.44,2.59
198601,-0.68,-0.53
198701,3.38,3.53
198801,-0.30,-0.15
198901,-1.90,-1.75
199001,-2.09,-1.94
199101,0.89,1.04
199201,4.68,4.83
199301,4.17,4.32
199401,-0.82,-0.67
199501,1.34,1.49
199601,-1.51,-1.36
199701,0.55,0.70
199801,3.02,3.17
199901,1.78,1.93
200001,-3.11,-2.96
200101,3.38,3.53
200201,-0.54,-0.39
200301,2.40,2.55
200401,-1.46,-1.31
200501,4.49,4.64
200601,-3.20,-3.05
200701,1.23,1.38
200801,-1.47,-1.32
200901,-3.32,-3.17
201001,2.29,2.44
201101,-1.96,-1.81
201201,-5.17,-5.02
201301,-4.08,-3.93
201401,-2.94,-2.79
201501,0.74,0.89
201601,4.45,4.60
201701,-0.81,-0.66
201801,-1.83,-1.68
201901,4.40,4.55
