Arizona, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189504,1.09,0.91
189604,-1.94,-2.12
189704,-0.08,-0.26
189804,-1.26,-1.44
189904,-2.58,-2.76
190004,-3.54,-3.72
190104,-2.40,-2.58
190204,-4.38,-4.56
190304,-2.45,-2.63
190404,-5.03,-5.21
190504,5.76,5.58
190604,5.65,5.47
190704,4.69,4.51
190804,2.58,2.40
190904,2.31,2.13
191004,-1.49,-1.67
191104,0.82,0.64
191204,1.66,1.48
191304,-0.30,-0.48
191404,-0.70,-0.88
191504,4.13,3.95
191604,4.41,4.23
191704,3.39,3.21
191804,-0.11,-0.29
191904,1.11,0.93
192004,4.61,4.43
192104,-2.62,-2.80
192204,1.68,1.50
192304,-0.68,-0.86
192404,0.88,0.70
192504,-2.07,-2.25
192604,1.60,1.42
192704,1.21,1.03
192804,-1.23,-1.41
192904,-1.83,-2.01
193004,0.33,0.15
193104,1.21,1.03
193204,3.20,3.02
193304,0.59,0.41
193404,-3.42,-3.60
193504,1.60,1.42
193604,-0.86,-1.04
193704,1.67,1.49
193804,0.86,0.68
193904,-0.63,-0.81
194004,-1.56,-1.74
194104,5.81,5.63
194204,0.52,0.34
194304,-1.71,-1.89
194404,1.36,1.18
194504,0.91,0.73
194604,-1.86,-2.04
194704,-2.68,-2.86
194804,-1.68,-1.86
194904,1.18,1.00
195004,-2.12,-2.30
195104,-2.78,-2.96
195204,3.23,3.05
195304,-0.79,-0.97
195404,-1.81,-1.99
195504,-2.29,-2.47
195604,-3.13,-3.31
195704,0.03,-0.15
195804,1.75,1.57
195904,-2.77,-2.95
196004,-0.61,-0.79
196104,-2.23,-2.41
196204,-0.29,-0.47
196304,-1.49,-1.67
196404,-1.42,-1.60
196504,1.61,1.43
196604,2.74,2.56
196704,-1.98,-2.16
196804,1.32,1.14
196904,0.18,0.00
197004,0.97,0.79
197104,-2.72,-2.90
197204,-3.39,-3.57
197304,4.71,4.53
197404,-2.70,-2.88
197504,-0.76,-0.94
197604,-1.08,-1.26
197704,-1.91,-2.09
197804,2.96,2.78
197904,5.63,5.45
198004,4.45,4.27
198104,-2.10,-2.28
198204,0.76,0.58
198304,3.76,3.58
198404,-1.74,-1.92
198504,3.59,3.41
198604,-0.88,-1.06
198704,-0.15,-0.33
198804,0.93,0.75
198904,-2.95,-3.13
199004,-3.58,-3.76
199104,1.66,1.48
199204,2.59,2.41
199304,6.42,6.24
199404,-0.91,-1.09
199504,2.43,2.25
199604,-4.36,-4.54
199704,-3.35,-3.53
199804,2.35,2.17
199904,-2.37,-2.55
200004,-3.54,-3.72
200104,1.61,1.43
200204,-4.54,-4.72
200304,-2.90,-3.08
200404,-3.13,-3.31
200504,4.17,3.99
200604,-3.55,-3.73
200704,-4.07,-4.25
200804,-2.29,-2.47
200904,-2.37,-2.55
201004,1.80,1.62
201104,-2.30,-2.48
201204,-3.67,-3.85
201304,-3.46,-3.64
201404,-3.96,-4.14
201504,-2.67,-2.85
201604,-2.24,-2.42
201704,-1.67,-1.85
201804,-5.24,-5.42
201904,-0.58,-0.76
