Washington, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,0.43,0.54
189601,1.47,1.58
189701,1.41,1.52
189801,-0.84,-0.73
189901,0.67,0.78
190001,1.80,1.91
190101,2.00,2.11
190201,-1.46,-1.35
190301,2.57,2.68
190401,1.21,1.32
190501,-1.81,-1.70
190601,-1.13,-1.02
190701,-0.18,-0.07
190801,-1.09,-0.98
190901,-1.19,-1.08
191001,-0.59,-0.48
191101,-0.66,-0.55
191201,0.38,0.49
191301,1.57,1.68
191401,1.24,1.35
191501,-1.98,-1.87
191601,0.70,0.81
191701,-1.79,-1.68
191801,2.41,2.52
191901,0.71,0.82
192001,-1.82,-1.71
192101,3.26,3.37
192201,-1.29,-1.18
192301,1.29,1.40
192401,-1.31,-1.20
192501,-1.29,-1.18
192601,-3.73,-3.62
192701,0.35,0.46
192801,-0.84,-0.73
192901,-3.64,-3.53
193001,-5.06,-4.95
193101,-4.19,-4.08
193201,0.32,0.43
193301,1.29,1.40
193401,4.31,4.42
193501,1.86,1.97
193601,0.64,0.75
193701,-3.12,-3.01
193801,-0.58,-0.47
193901,-2.71,-2.60
194001,-3.57,-3.46
194101,-2.31,-2.20
194201,-0.87,-0.76
194301,-0.72,-0.61
194401,-2.71,-2.60
194501,-3.76,-3.65
194601,0.96,1.07
194701,-0.10,0.01
194801,0.58,0.69
194901,2.54,2.65
195001,0.80,0.91
195101,2.94,3.05
195201,-0.48,-0.37
195301,2.23,2.34
195401,2.27,2.38
195501,-1.34,-1.23
195601,3.95,4.06
195701,-1.66,-1.55
195801,0.45,0.56
195901,1.49,1.60
196001,1.17,1.28
196101,0.18,0.29
196201,-1.56,-1.45
196301,-1.80,-1.69
196401,1.05,1.16
196501,1.86,1.97
196601,-1.68,-1.57
196701,1.35,1.46
196801,0.63,0.74
196901,2.64,2.75
197001,-0.65,-0.54
197101,1.40,1.51
197201,2.11,2.22
197301,-0.77,-0.66
197401,3.19,3.30
197501,0.90,1.01
197601,2.22,2.33
197701,-4.48,-4.37
197801,-0.35,-0.24
197901,-2.96,-2.85
198001,0.54,0.65
198101,-1.25,-1.14
198201,2.47,2.58
198301,1.70,1.81
198401,2.29,2.40
198501,-2.07,-1.96
198601,-1.88,-1.77
198701,-1.67,-1.56
198801,-3.52,-3.41
198901,-1.65,-1.54
199001,0.86,0.97
199101,1.18,1.29
199201,-1.35,-1.24
199301,-3.12,-3.01
199401,-2.81,-2.70
199501,1.22,1.33
199601,2.41,2.52
199701,3.98,4.09
199801,-0.50,-0.39
199901,2.32,2.43
200001,-0.01,0.10
200101,-2.97,-2.86
200201,1.25,1.36
200301,0.70,0.81
200401,-1.58,-1.47
200501,-2.13,-2.02
200601,1.89,2.00
200701,-0.28,-0.17
200801,-0.72,-0.61
200901,-1.35,-1.24
201001,-1.05,-0.94
201101,2.39,2.50
201201,0.08,0.19
201301,-0.62,-0.51
201401,-2.53,-2.42
201501,-0.58,-0.47
201601,1.91,2.02
201701,0.59,0.70
201801,-0.07,0.04
201901,-2.55,-2.44
