Texas, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189504,0.26,0.20
189604,-0.23,-0.29
189704,-1.77,-1.83
189804,-2.22,-2.28
189904,-2.23,-2.29
190004,2.77,2.71
190104,-2.04,-2.10
190204,-4.67,-4.73
190304,2.39,2.33
190404,-3.62,-3.68
190504,2.56,2.50
190604,2.04,1.98
190704,-2.29,-2.35
190804,2.46,2.40
190904,-3.34,-3.40
191004,-3.53,-3.59
191104,-3.25,-3.31
191204,1.57,1.51
191304,-0.58,-0.64
191404,3.39,3.33
191504,5.54,5.48
191604,-2.32,-2.38
191704,-4.45,-4.51
191804,-5.66,-5.72
191904,2.98,2.92
192004,4.89,4.83
192104,-0.18,-0.24
192204,2.01,1.95
192304,2.03,1.97
192404,3.36,3.30
192504,-4.47,-4.53
192604,2.57,2.51
192704,-0.03,-0.09
192804,-2.33,-2.39
192904,0.47,0.41
193004,-0.76,-0.82
193104,3.52,3.46
193204,1.99,1.93
193304,-0.49,-0.55
193404,-1.03,-1.09
193504,-2.87,-2.93
193604,-1.48,-1.54
193704,-0.50,-0.56
193804,1.41,1.35
193904,-1.99,-2.05
194004,0.16,0.10
194104,4.42,4.36
194204,4.85,4.79
194304,-2.06,-2.12
194404,1.43,1.37
194504,3.17,3.11
194604,0.80,0.74
194704,1.33,1.27
194804,-1.00,-1.06
194904,1.98,1.92
195004,0.85,0.79
195104,-2.95,-3.01
195204,-3.78,-3.84
195304,-3.09,-3.15
195404,-3.90,-3.96
195504,-5.16,-5.22
195604,-5.11,-5.17
195704,2.49,2.43
195804,4.47,4.41
195904,1.29,1.23
196004,1.86,1.80
196104,2.78,2.72
196204,-0.87,-0.93
196304,-3.18,-3.24
196404,-2.65,-2.71
196504,-2.02,-2.08
196604,1.13,1.07
196704,-3.84,-3.90
196804,2.68,2.62
196904,3.37,3.31
197004,2.61,2.55
197104,-3.81,-3.87
197204,-1.77,-1.83
197304,2.92,2.86
197404,-1.46,-1.52
197504,3.35,3.29
197604,0.51,0.45
197704,3.06,3.00
197804,-2.75,-2.81
197904,2.12,2.06
198004,-0.97,-1.03
198104,0.27,0.21
198204,-0.97,-1.03
198304,1.27,1.21
198404,-1.34,-1.40
198504,2.76,2.70
198604,-1.87,-1.93
198704,3.03,2.97
198804,-0.70,-0.76
198904,-1.82,-1.88
199004,1.46,1.40
199104,0.49,0.43
199204,4.93,4.87
199304,4.08,4.02
199404,-0.90,-0.96
199504,1.38,1.32
199604,-2.99,-3.05
199704,3.11,3.05
199804,-0.46,-0.52
199904,1.03,0.97
200004,-3.58,-3.64
200104,-0.63,-0.69
200204,-0.74,-0.80
200304,-0.78,-0.84
200404,1.26,1.20
200504,-0.50,-0.56
200604,-4.10,-4.16
200704,1.92,1.86
200804,-1.63,-1.69
200904,-3.36,-3.42
201004,3.03,2.97
201104,-4.47,-4.53
201204,-3.77,-3.83
201304,-4.19,-4.25
201404,-3.49,-3.55
201504,2.20,2.14
201604,4.50,4.44
201704,-1.14,-1.20
201804,-1.83,-1.89
